epoch,step,validate/identity_baseline_mse_epoch,validate/identity_baseline_mse_step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
,0,,0.24470192193984985,,0.13349300622940063,,0.032188646495342255,,1.1256039142608643
,1,,0.36421453952789307,,0.12769539654254913,,0.028988340869545937,,1.0967450141906738
,2,,0.2821720242500305,,0.11203192174434662,,0.019096847623586655,,1.0326118469238281
,3,,0.35336461663246155,,0.1157628744840622,,0.024684429168701172,,1.0119826793670654
,4,,0.3050784468650818,,0.11895649880170822,,0.027267077937722206,,1.0187712907791138
,5,,0.3140890896320343,,0.12439306080341339,,0.03830506280064583,,0.9565331935882568
,6,,0.2752296030521393,,0.13207119703292847,,0.03306574374437332,,1.1000604629516602
,7,,0.3023221790790558,,0.138072669506073,,0.02767178602516651,,1.2266764640808105
,8,,0.29947444796562195,,0.12049272656440735,,0.023980166763067245,,1.072361707687378
,9,,0.33285799622535706,,0.11392075568437576,,0.02453441731631756,,0.9931814670562744
,10,,0.2908696234226227,,0.13754728436470032,,0.02657146006822586,,1.2330646514892578
,11,,0.3705728352069855,,0.14120738208293915,,0.03194665163755417,,1.214008092880249
,12,,0.33114859461784363,,0.13716435432434082,,0.022715171799063683,,1.2716575860977173
,13,,0.3676270842552185,,0.12402486801147461,,0.024334559217095375,,1.1076700687408447
,14,,0.3810669481754303,,0.1369178593158722,,0.03796668350696564,,1.0994573831558228
,15,,0.3648134171962738,,0.12605401873588562,,0.030734572559595108,,1.0591049194335938
,16,,0.3964824974536896,,0.11888338625431061,,0.02906207926571369,,0.998014509677887
,17,,0.22565647959709167,,0.1318109780550003,,0.027387091889977455,,1.160265326499939
,18,,0.38535046577453613,,0.12217617779970169,,0.02868059277534485,,1.0388398170471191
,19,,0.3096833825111389,,0.14422918856143951,,0.03962382301688194,,1.1622817516326904
,20,,0.2964424192905426,,0.11053445935249329,,0.027848733589053154,,0.9187302589416504
,21,,0.31210681796073914,,0.1250796914100647,,0.03455314040184021,,1.0058504343032837
,22,,0.2648051977157593,,0.1472221165895462,,0.02903584949672222,,1.313180685043335
,23,,0.3499734103679657,,0.1282871514558792,,0.026877203956246376,,1.126777172088623
,24,,0.3088935911655426,,0.13158906996250153,,0.024993406608700752,,1.1843962669372559
,25,,0.3025229573249817,,0.11615404486656189,,0.030024277046322823,,0.9569973945617676
,26,,0.30731144547462463,,0.11686365306377411,,0.027868207544088364,,0.9888383150100708
,27,,0.29425108432769775,,0.12798304855823517,,0.03015034832060337,,1.0870299339294434
,28,,0.3606390058994293,,0.1405542641878128,,0.03544866293668747,,1.1678400039672852
,29,,0.4139504134654999,,0.1285977065563202,,0.023678060621023178,,1.165773868560791
,30,,0.36660924553871155,,0.1717267632484436,,0.040042631328105927,,1.463157057762146
,31,,0.38255172967910767,,0.14191539585590363,,0.033616434782743454,,1.2033216953277588
,32,,0.35180574655532837,,0.12340215593576431,,0.03427378088235855,,0.9903152585029602
,33,,0.27244722843170166,,0.1126825213432312,,0.02464788779616356,,0.9781625866889954
,34,,0.21360251307487488,,0.13069739937782288,,0.04014833644032478,,1.0061006546020508
,35,,0.3482848107814789,,0.11882972717285156,,0.025892239063978195,,1.032638669013977
,36,,0.38551393151283264,,0.12872764468193054,,0.032344426959753036,,1.0709246397018433
,37,,0.31887540221214294,,0.12990275025367737,,0.038612332195043564,,1.0143380165100098
,38,,0.27469608187675476,,0.12754637002944946,,0.025792628526687622,,1.1305969953536987
,39,,0.325560986995697,,0.13883942365646362,,0.028673235327005386,,1.2240687608718872
,40,,0.3143424987792969,,0.1397085189819336,,0.03156786412000656,,1.2015628814697266
,41,,0.35741037130355835,,0.12250272929668427,,0.031871069222688675,,1.0070183277130127
,42,,0.3373986482620239,,0.11916106939315796,,0.027397077530622482,,1.0195997953414917
,43,,0.31413009762763977,,0.13076817989349365,,0.02761058323085308,,1.146195411682129
,44,,0.3009246289730072,,0.11681391298770905,,0.021142546087503433,,1.063015103340149
,45,,0.28549841046333313,,0.1524481177330017,,0.03576290234923363,,1.2965023517608643
,46,,0.29988470673561096,,0.12535829842090607,,0.0297436211258173,,1.0623853206634521
,47,,0.333789199590683,,0.13228711485862732,,0.034274764358997345,,1.0890260934829712
,48,,0.34306398034095764,,0.12867684662342072,,0.027688371017575264,,1.1220941543579102
,49,,0.3703640401363373,,0.13548870384693146,,0.028198981657624245,,1.1921080350875854
,50,,0.35599997639656067,,0.14483632147312164,,0.03906141221523285,,1.175276756286621
,51,,0.2865644693374634,,0.1264423131942749,,0.03034122847020626,,1.0677897930145264
,52,,0.3096781075000763,,0.12295423448085785,,0.03308825567364693,,0.9985108971595764
,53,,0.3377161920070648,,0.12094186991453171,,0.026880495250225067,,1.0451263189315796
,54,,0.32375144958496094,,0.14395610988140106,,0.03488403558731079,,1.211911916732788
,55,,0.3727857172489166,,0.12265275418758392,,0.024541784077882767,,1.090121865272522
,56,,0.3171326220035553,,0.13916902244091034,,0.028735186904668808,,1.227042555809021
,57,,0.26089951395988464,,0.12754859030246735,,0.028288040310144424,,1.1028950214385986
,58,,0.4513172507286072,,0.11688026040792465,,0.021409517154097557,,1.0607860088348389
,59,,0.3083774149417877,,0.12264002859592438,,0.02962956205010414,,1.033449649810791
,60,,0.4099671542644501,,0.12445396929979324,,0.030797401443123817,,1.0406285524368286
,61,,0.2689567804336548,,0.13166053593158722,,0.025417719036340714,,1.1804757118225098
,62,,0.2876095175743103,,0.12201035022735596,,0.02281551994383335,,1.1021647453308105
,63,,0.30251801013946533,,0.12104624509811401,,0.025616522878408432,,1.0603301525115967
,64,,0.3490065336227417,,0.10892894119024277,,0.02230004221200943,,0.962543249130249
,65,,0.3083705008029938,,0.14317168295383453,,0.03145790472626686,,1.2412641048431396
,66,,0.3253190815448761,,0.12752513587474823,,0.02751549705862999,,1.1112182140350342
,67,,0.4464167654514313,,0.11607648432254791,,0.022119790315628052,,1.0439631938934326
,68,,0.39978718757629395,,0.12760406732559204,,0.03196391090750694,,1.0626684427261353
,69,,0.42162036895751953,,0.13441257178783417,,0.026876118034124374,,1.1948493719100952
,70,,0.2951512336730957,,0.11391188204288483,,0.02579927071928978,,0.9790289402008057
,71,,0.3605406582355499,,0.12702400982379913,,0.03353037312626839,,1.038818120956421
,72,,0.324349045753479,,0.12134493887424469,,0.024432983249425888,,1.0767993927001953
,73,,0.3704686462879181,,0.15188005566596985,,0.041117120534181595,,1.2306991815567017
,74,,0.3485250174999237,,0.12854966521263123,,0.0297013558447361,,1.0983145236968994
,75,,0.34783583879470825,,0.14988182485103607,,0.034216273576021194,,1.285172700881958
,76,,0.4260387420654297,,0.15442465245723724,,0.038387879729270935,,1.2892974615097046
,77,,0.3242332637310028,,0.13642244040966034,,0.03853035718202591,,1.087689757347107
,78,,0.33024880290031433,,0.11496779322624207,,0.020201386883854866,,1.0529600381851196
,79,,0.35467180609703064,,0.11090147495269775,,0.015777641907334328,,1.056931495666504
,80,,0.24487192928791046,,0.13600024580955505,,0.035530466586351395,,1.116330862045288
,81,,0.3144387900829315,,0.1262066811323166,,0.03396076336503029,,1.0249546766281128
,82,,0.36995354294776917,,0.12219326943159103,,0.024883585050702095,,1.0812187194824219
,83,,0.42341262102127075,,0.13415080308914185,,0.029245972633361816,,1.1656091213226318
,84,,0.3414837718009949,,0.1399984210729599,,0.03293820098042488,,1.1895580291748047
,85,,0.32852861285209656,,0.12354342639446259,,0.034119535237550735,,0.9935988187789917
,86,,0.35705217719078064,,0.13570943474769592,,0.03790106251835823,,1.0867595672607422
,87,,0.28135061264038086,,0.1250627487897873,,0.03320503979921341,,1.0206412076950073
,88,,0.3909023106098175,,0.13112139701843262,,0.03972289338707924,,1.0155389308929443
,89,,0.3632291853427887,,0.13687261939048767,,0.028889980167150497,,1.199807047843933
,90,,0.31100669503211975,,0.12968330085277557,,0.02887638472020626,,1.1200768947601318
,91,,0.39981192350387573,,0.12750042974948883,,0.03135112300515175,,1.0683255195617676
,92,,0.3583473563194275,,0.13461720943450928,,0.03843028098344803,,1.0687435865402222
,93,,0.35219326615333557,,0.12113923579454422,,0.028759896755218506,,1.0264370441436768
,94,,0.37264084815979004,,0.1216382384300232,,0.029606027528643608,,1.0225800275802612
,95,,0.31603875756263733,,0.12836745381355286,,0.024297239258885384,,1.1563355922698975
,96,,0.4573599398136139,,0.14361447095870972,,0.034923478960990906,,1.2076776027679443
,97,,0.32561808824539185,,0.12932993471622467,,0.03109026327729225,,1.0915517807006836
,98,,0.3495985269546509,,0.12480536103248596,,0.030704578384757042,,1.0455641746520996
,99,,0.23107409477233887,,0.15044119954109192,,0.03260020539164543,,1.3093442916870117
,100,,0.4222724437713623,,0.1273011565208435,,0.03373897075653076,,1.0395798683166504
,101,,0.26947012543678284,,0.1260043978691101,,0.032081421464681625,,1.043588638305664
,102,,0.35473909974098206,,0.14188027381896973,,0.0477023720741272,,1.0464211702346802
,103,,0.3697839379310608,,0.12548433244228363,,0.030295763164758682,,1.0576506853103638
,104,,0.2350553423166275,,0.12591201066970825,,0.03192010149359703,,1.0443544387817383
