dataset,label,status,sampled_windows,sampled_episodes,copy_mse,velocity_mse,velocity_absolute_gap,velocity_relative_improvement,linear_mse,linear_absolute_gap,linear_relative_improvement,fetch_status
pusht,PushT,ok,20000,11052,0.0023515496889750164,0.004299461087077653,-0.0019479113981026369,-0.8283522169381351,0.003340418563894674,-0.0009888688749196575,-0.4205179586703445,already-present
reacher,Reacher,ok,20000,8077,0.003006228521567624,0.00424680354384338,-0.0012405750222757557,-0.4126682364216434,0.0037871826781707557,-0.0007809541566031319,-0.2597787064424153,already-present
tworoom,TwoRoom,ok,20000,7244,0.002210407528909696,0.003226937487985001,-0.0010165299590753048,-0.4598835037341361,0.0029463541991045688,-0.0007359466701948726,-0.332946147065417,already-present
cube,Cube,missing,,,,,,,,,,missing
